CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,drop_method,drop_rate,MLP Architecture,Test Accuracy,Test Precision
2,100,100,0.001,0.5,drophyperedge,0.01,"(512, 256, 128, 64)",0.8486842105263158,0.9054054054054054
3,100,100,0.001,0.5,drophyperedge,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.8777777777777778
4,100,100,0.001,0.5,drophyperedge,0.01,"(512, 256, 128, 64)",0.9013157894736842,0.9130434782608695
0,100,100,0.001,0.5,drophyperedge,0.1,"(512, 256, 128, 64)",0.8355263157894737,0.7731958762886598
1,100,100,0.001,0.5,drophyperedge,0.1,"(512, 256, 128, 64)",0.8881578947368421,0.8514851485148515
2,100,100,0.001,0.5,drophyperedge,0.1,"(512, 256, 128, 64)",0.8618421052631579,0.8690476190476191
3,100,100,0.001,0.5,drophyperedge,0.1,"(512, 256, 128, 64)",0.8486842105263158,0.8125
4,100,100,0.001,0.5,drophyperedge,0.1,"(512, 256, 128, 64)",0.8092105263157895,0.8690476190476191
0,100,100,0.001,0.5,drophyperedge,0.2,"(512, 256, 128, 64)",0.868421052631579,0.8152173913043478
1,100,100,0.001,0.5,drophyperedge,0.2,"(512, 256, 128, 64)",0.9013157894736842,0.8762886597938144
2,100,100,0.001,0.5,drophyperedge,0.2,"(512, 256, 128, 64)",0.868421052631579,0.8118811881188119
3,100,100,0.001,0.5,drophyperedge,0.2,"(512, 256, 128, 64)",0.7697368421052632,0.7857142857142857
4,100,100,0.001,0.5,drophyperedge,0.2,"(512, 256, 128, 64)",0.8092105263157895,0.8690476190476191
0,100,100,0.001,0.5,drophyperedge,0.5,"(512, 256, 128, 64)",0.5131578947368421,0.5142857142857142
1,100,100,0.001,0.5,drophyperedge,0.5,"(512, 256, 128, 64)",0.6776315789473685,0.7468354430379747
2,100,100,0.001,0.5,drophyperedge,0.5,"(512, 256, 128, 64)",0.5197368421052632,0.5609756097560976
3,100,100,0.001,0.5,drophyperedge,0.5,"(512, 256, 128, 64)",0.6118421052631579,0.625
4,100,100,0.001,0.5,drophyperedge,0.5,"(512, 256, 128, 64)",0.631578947368421,0.6767676767676768
0,100,100,0.001,0.5,drophyperedge,0.8,"(512, 256, 128, 64)",0.4868421052631579,0.5
1,100,100,0.001,0.5,drophyperedge,0.8,"(512, 256, 128, 64)",0.5789473684210527,0.5967741935483871
2,100,100,0.001,0.5,drophyperedge,0.8,"(512, 256, 128, 64)",0.5197368421052632,0.5892857142857143
3,100,100,0.001,0.5,drophyperedge,0.8,"(512, 256, 128, 64)",0.5197368421052632,0.5352112676056338
4,100,100,0.001,0.5,drophyperedge,0.8,"(512, 256, 128, 64)",0.3881578947368421,0.4868421052631579
0,100,100,0.001,0.8,drophyperedge,0.0,"(512, 256, 128, 64)",0.5921052631578947,0.6739130434782609
1,100,100,0.001,0.8,drophyperedge,0.0,"(512, 256, 128, 64)",0.40789473684210525,0.4375
2,100,100,0.001,0.8,drophyperedge,0.0,"(512, 256, 128, 64)",0.8223684210526315,0.8333333333333334
3,100,100,0.001,0.8,drophyperedge,0.0,"(512, 256, 128, 64)",0.47368421052631576,0.5789473684210527
4,100,100,0.001,0.8,drophyperedge,0.0,"(512, 256, 128, 64)",0.868421052631579,0.8446601941747572
0,100,100,0.001,0.8,drophyperedge,0.01,"(512, 256, 128, 64)",0.7960526315789473,0.7831325301204819
1,100,100,0.001,0.8,drophyperedge,0.01,"(512, 256, 128, 64)",0.875,0.8556701030927835
2,100,100,0.001,0.8,drophyperedge,0.01,"(512, 256, 128, 64)",0.8618421052631579,0.8604651162790697
3,100,100,0.001,0.8,drophyperedge,0.01,"(512, 256, 128, 64)",0.8355263157894737,0.8295454545454546
4,100,100,0.001,0.8,drophyperedge,0.01,"(512, 256, 128, 64)",0.8421052631578947,0.8764044943820225
0,100,100,0.001,0.8,drophyperedge,0.1,"(512, 256, 128, 64)",0.7171052631578947,0.7160493827160493
1,100,100,0.001,0.8,drophyperedge,0.1,"(512, 256, 128, 64)",0.8289473684210527,0.8229166666666666
2,100,100,0.001,0.8,drophyperedge,0.1,"(512, 256, 128, 64)",0.7828947368421053,0.7717391304347826
3,100,100,0.001,0.8,drophyperedge,0.1,"(512, 256, 128, 64)",0.8289473684210527,0.8064516129032258
4,100,100,0.001,0.8,drophyperedge,0.1,"(512, 256, 128, 64)",0.8157894736842105,0.8247422680412371
0,100,100,0.001,0.8,drophyperedge,0.2,"(512, 256, 128, 64)",0.8026315789473685,0.74
1,100,100,0.001,0.8,drophyperedge,0.2,"(512, 256, 128, 64)",0.7894736842105263,0.7857142857142857
2,100,100,0.001,0.8,drophyperedge,0.2,"(512, 256, 128, 64)",0.7697368421052632,0.7352941176470589
3,100,100,0.001,0.8,drophyperedge,0.2,"(512, 256, 128, 64)",0.8355263157894737,0.8222222222222222
4,100,100,0.001,0.8,drophyperedge,0.2,"(512, 256, 128, 64)",0.7828947368421053,0.8295454545454546
0,100,100,0.001,0.8,drophyperedge,0.5,"(512, 256, 128, 64)",0.5921052631578947,0.5816326530612245
1,100,100,0.001,0.8,drophyperedge,0.5,"(512, 256, 128, 64)",0.5197368421052632,0.6666666666666666
2,100,100,0.001,0.8,drophyperedge,0.5,"(512, 256, 128, 64)",0.48026315789473684,0.5454545454545454
3,100,100,0.001,0.8,drophyperedge,0.5,"(512, 256, 128, 64)",0.6052631578947368,0.6575342465753424
4,100,100,0.001,0.8,drophyperedge,0.5,"(512, 256, 128, 64)",0.5921052631578947,0.6330275229357798
0,100,100,0.001,0.8,drophyperedge,0.8,"(512, 256, 128, 64)",0.4934210526315789,0.5052631578947369
1,100,100,0.001,0.8,drophyperedge,0.8,"(512, 256, 128, 64)",0.3618421052631579,0.4430379746835443
2,100,100,0.001,0.8,drophyperedge,0.8,"(512, 256, 128, 64)",0.4934210526315789,0.5416666666666666
3,100,100,0.001,0.8,drophyperedge,0.8,"(512, 256, 128, 64)",0.5460526315789473,0.5625
4,100,100,0.001,0.8,drophyperedge,0.8,"(512, 256, 128, 64)",0.46710526315789475,0.631578947368421
