CV step,Epochs GNN,Epochs Classifier,Learning rate,Smoothing,MLP Architecture,Test Accuracy,Test Precision
2,100,300,0.01,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9204545454545454
3,100,300,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8804347826086957
4,100,300,0.01,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.7931034482758621
0,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5197368421052632,0.5167785234899329
1,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,100,300,0.1,0.001,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5131578947368421,0.6363636363636364
4,100,300,0.1,0.01,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5131578947368421,0.5131578947368421
1,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5789473684210527,0.5789473684210527
2,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
3,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5460526315789473,0.5460526315789473
4,100,300,0.1,0.1,"(512, 256, 128, 64)",0.5986842105263158,0.5986842105263158
0,300,50,0.001,0.001,"(512, 256, 128, 64)",0.8421052631578947,0.7872340425531915
1,300,50,0.001,0.001,"(512, 256, 128, 64)",0.9013157894736842,0.9010989010989011
2,300,50,0.001,0.001,"(512, 256, 128, 64)",0.881578947368421,0.8823529411764706
3,300,50,0.001,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8152173913043478
4,300,50,0.001,0.001,"(512, 256, 128, 64)",0.881578947368421,0.8924731182795699
0,300,50,0.001,0.01,"(512, 256, 128, 64)",0.868421052631579,0.8085106382978723
1,300,50,0.001,0.01,"(512, 256, 128, 64)",0.9276315789473685,0.9052631578947369
2,300,50,0.001,0.01,"(512, 256, 128, 64)",0.9407894736842105,0.9111111111111111
3,300,50,0.001,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.875
4,300,50,0.001,0.01,"(512, 256, 128, 64)",0.45394736842105265,0.7
0,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9473684210526315,0.9069767441860465
1,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.88
2,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9605263157894737,0.9325842696629213
3,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9736842105263158,0.9759036144578314
4,300,50,0.001,0.1,"(512, 256, 128, 64)",0.9407894736842105,0.9555555555555556
0,300,50,0.01,0.001,"(512, 256, 128, 64)",0.7960526315789473,0.7373737373737373
1,300,50,0.01,0.001,"(512, 256, 128, 64)",0.8947368421052632,0.8829787234042553
2,300,50,0.01,0.001,"(512, 256, 128, 64)",0.881578947368421,0.9012345679012346
3,300,50,0.01,0.001,"(512, 256, 128, 64)",0.8355263157894737,0.8295454545454546
4,300,50,0.01,0.001,"(512, 256, 128, 64)",0.8552631578947368,0.8415841584158416
0,300,50,0.01,0.01,"(512, 256, 128, 64)",0.9078947368421053,0.872093023255814
1,300,50,0.01,0.01,"(512, 256, 128, 64)",0.9342105263157895,0.90625
2,300,50,0.01,0.01,"(512, 256, 128, 64)",0.8881578947368421,0.8928571428571429
3,300,50,0.01,0.01,"(512, 256, 128, 64)",0.8947368421052632,0.8602150537634409
4,300,50,0.01,0.01,"(512, 256, 128, 64)",0.4868421052631579,0.7096774193548387
0,300,50,0.01,0.1,"(512, 256, 128, 64)",0.8157894736842105,0.75
1,300,50,0.01,0.1,"(512, 256, 128, 64)",0.9144736842105263,0.8947368421052632
2,300,50,0.01,0.1,"(512, 256, 128, 64)",0.9078947368421053,0.8556701030927835
3,300,50,0.01,0.1,"(512, 256, 128, 64)",0.9210526315789473,0.8817204301075269
4,300,50,0.01,0.1,"(512, 256, 128, 64)",0.868421052631579,0.8736842105263158
