,model,data,depth,epochs,best_val_accuracy,test_accuracy,drop_method,drop_rate,oversmoothing,val_accuracy
20,HGNNP,CocitationCora,1,180,0.30451712012290955,0.2710280418395996,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
21,HGNNP,CocitationCora,1,199,0.30451712012290955,0.29049843549728394,dropnode,0.5,"[273.83380126953125, 17740.08203125, 23459.392578125, 19530.654296875, 16126.2041015625, 13499.294921875, 11368.693359375, 9387.9013671875, 8395.8154296875, 7594.5927734375, 6542.1142578125, 6518.3916015625, 5443.4638671875, 5059.7548828125, 5044.3486328125, 5030.26025390625, 4078.418212890625, 4128.71484375, 3692.42626953125, 3542.74755859375]","[0.1370716542005539, 0.19742991030216217, 0.17601245641708374, 0.18964174389839172, 0.20171339809894562, 0.16394081711769104, 0.15654206275939941, 0.1978193074464798, 0.2118380069732666, 0.23987539112567902, 0.28232088685035706, 0.2897196114063263, 0.2866043746471405, 0.2912772595882416, 0.2694703936576843, 0.27725857496261597, 0.28037384152412415, 0.30451712012290955, 0.2710280418395996, 0.2573987543582916]"
22,HGNNP,CocitationCora,1,0,0.16978193819522858,0.16978193819522858,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
23,HGNNP,CocitationCora,1,20,0.16978193819522858,0.14135514199733734,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
24,HGNNP,CocitationCora,1,40,0.17834891378879547,0.17834891378879547,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
25,HGNNP,CocitationCora,1,60,0.2912772595882416,0.21767912805080414,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
26,HGNNP,CocitationCora,1,80,0.3208722770214081,0.3002336323261261,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
27,HGNNP,CocitationCora,1,100,0.32204049825668335,0.32204049825668335,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
28,HGNNP,CocitationCora,1,120,0.3387850522994995,0.315809965133667,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
29,HGNNP,CocitationCora,1,140,0.3387850522994995,0.32009345293045044,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
30,HGNNP,CocitationCora,1,160,0.33956387639045715,0.3383956253528595,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
31,HGNNP,CocitationCora,1,180,0.33956387639045715,0.3317756950855255,dropedge,0.5,"[189.2347412109375, 24907.923828125, 24826.943359375, 19357.05078125, 16324.5146484375, 12220.822265625, 10004.4423828125, 9931.916015625, 7753.54443359375, 7987.58349609375, 6582.2373046875, 6440.88330078125, 6419.7197265625, 5437.5859375, 4825.25830078125, 5292.20556640625, 5142.41259765625, 5201.43603515625, 5652.48583984375, 5020.99365234375]","[0.16978193819522858, 0.15537382662296295, 0.14135514199733734, 0.16394081711769104, 0.17834891378879547, 0.2912772595882416, 0.21767912805080414, 0.3208722770214081, 0.3002336323261261, 0.31308412551879883, 0.32204049825668335, 0.3387850522994995, 0.315809965133667, 0.3142523467540741, 0.32009345293045044, 0.33956387639045715, 0.3383956253528595, 0.31308412551879883, 0.3317756950855255, 0.3138629198074341]"
